Column1,Degree Centrality,Closeness Centrality,Betweeness Centrality,Pagerank Centrality
Alveolar proteinosis,0.002909929,0.498421847,0,3.72E-05
Follicular Variant Thyroid Gland Papillary Carcinoma,0.002909929,0.498421847,0,3.72E-05
Uruguay Faciocardiomusculoskeletal syndrome,0.002909929,0.498421847,0,3.72E-05
Colorectal Serrated Adenocarcinoma,0.002909929,0.498421847,0,3.72E-05
Shoulder girdle muscle weakness,0.002909929,0.498421847,0,3.72E-05
Episodic flaccid weakness,0.002909929,0.498421847,0,3.72E-05
immunodeficiency 27A,0.002909929,0.498421847,0,3.72E-05
"cerebral amyloid angiopathy, APP-related",0.002909929,0.498421847,0,3.72E-05
congenital fibrosis of the extraocular muscles,0.002909929,0.498421847,0,3.72E-05
histiocytic medullary reticulosis,0.002909929,0.498421847,0,3.72E-05
Alopecia - intellectual disability - hypergonadotropic hypogonadism,0.002909929,0.498421847,0,3.72E-05
Opsoclonus-Myoclonus Syndrome,0.002909929,0.498421847,0,3.72E-05
Subcutaneous neurofibromas,0.002909929,0.498421847,0,3.72E-05
postencephalitic Parkinson disease,0.002909929,0.498421847,0,3.72E-05
collagenopathy type 2 alpha 1,0.002909929,0.498421847,0,3.72E-05
Clear Cell Papillary Cystadenoma,0.002909929,0.498421847,0,3.72E-05
X-linked dominant disease,0.002909929,0.498421847,0,3.72E-05
bronchiolitis (disease),0.002909929,0.498421847,0,3.72E-05
Talipes equinovarus,0.002909929,0.498421847,0,3.72E-05
systolic heart failure,0.002909929,0.498421847,0,3.72E-05
intracranial primitive neuroectodermal tumor,0.002909929,0.498421847,0,3.72E-05
Calf muscle hypertrophy,0.002909929,0.498421847,0,3.72E-05
acquired immunodeficiency,0.002880663,0.498421847,0,3.71E-05
central core myopathy,0.002880663,0.498421847,0,3.71E-05
Unclassified Renal Cell Carcinoma,0.002880663,0.498421847,0,3.71E-05
neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation,0.002880663,0.498421847,0,3.71E-05
Hyponatremia,0.002880663,0.498421847,0,3.71E-05
Leukoencephalopathy,0.002880663,0.498421847,0,3.71E-05
Scapulohumeral muscular dystrophy,0.002880663,0.498421847,0,3.71E-05
Respiratory insufficiency due to muscle weakness,0.002880663,0.498421847,0,3.71E-05
Delayed speech and language development,0.002880663,0.498421847,0,3.71E-05
Hair-pulling,0.002880663,0.498421847,0,3.71E-05
Premature ovarian insufficiency,0.002880663,0.498421847,0,3.71E-05
Absent speech,0.002880663,0.498421847,0,3.71E-05
Aminoacylase 1 deficiency,0.002880663,0.498421847,0,3.71E-05
MYH7-related late-onset scapuloperoneal muscular dystrophy,0.002880663,0.498421847,0,3.71E-05
high altitude pulmonary edema,0.002880663,0.498421847,0,3.71E-05
hypochromic microcytic anemia (disease),0.002880663,0.498421847,0,3.71E-05
COL4A1 or COL4A2-related cerebral small vessel disease with hemorrhagic tendancy,0.002880663,0.498421847,0,3.71E-05
Diffuse mesangial sclerosis,0.002880663,0.498421847,0,3.71E-05
Cortical tubers,0.002880663,0.498421847,0,3.71E-05
Inguinal freckling,0.002880663,0.498421847,0,3.71E-05
Paresthesia,0.002880663,0.498421847,0,3.71E-05
metastatic carcinoma,0.002880663,0.498421847,0,3.71E-05
microcephalic osteodysplastic primordial dwarfism,0.002880663,0.498421847,0,3.71E-05
prolymphocytic leukemia,0.002880663,0.498421847,0,3.71E-05
"cirrhosis, familial",0.002880663,0.498421847,0,3.71E-05
soluble triggering receptor expressed on myeloid cells 2 measurement,0.002880663,0.498421847,0,3.71E-05
neuritis,0.002880663,0.498421847,0,3.71E-05
"encephalopathy, acute, infection-induced",0.002880663,0.498421847,0,3.71E-05
atrioventricular block (disease),0.002880663,0.498421847,0,3.71E-05
"hypoparathyroidism, familial isolated",0.002880663,0.498421847,0,3.71E-05
low-grade astrocytoma,0.002880663,0.498421847,0,3.71E-05
late-onset scapuloperoneal muscular dystrophy with hyaline bodies,0.002880663,0.498421847,0,3.71E-05
radiodermatitis,0.002880663,0.498421847,0,3.71E-05
papilloma,0.002880663,0.498421847,0,3.71E-05
cervicitis,0.002880663,0.498421847,0,3.71E-05
Reduced antithrombin III activity,0.002880663,0.498421847,0,3.71E-05
cachexia,0.002880663,0.498421847,0,3.71E-05
coagulation protein disease,0.002880663,0.498421847,0,3.71E-05
pulmonary alveolar proteinosis,0.002880663,0.498421847,0,3.71E-05
commensal bacterial infectious disease,0.002880663,0.498421847,0,3.71E-05
single-multicellular organism process,0.002880663,0.498421847,0,3.71E-05
Hypophosphatemia,0.002880663,0.498421847,0,3.71E-05
symphalangism,0.002880663,0.498421847,0,3.71E-05
Gastric Papillary Adenocarcinoma,0.002880663,0.498421847,0,3.71E-05
cognitive impairment with or without cerebellar ataxia,0.002880663,0.498421847,0,3.71E-05
Growth Hormone-Producing Pituitary Gland Adenoma,0.002880663,0.498421847,0,3.71E-05
persistent fetal circulation syndrome,0.002880663,0.498421847,0,3.71E-05
pharyngeal squamous cell carcinoma,0.002880663,0.498421847,0,3.71E-05
Hypogonadotrophic hypogonadism,0.002880663,0.498421847,0,3.71E-05
Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1,0.002880663,0.498421847,0,3.71E-05
Intraocular melanoma,0.002880663,0.498421847,0,3.71E-05
Tracheal neoplasm,0.002880663,0.498421847,0,3.71E-05
multiple sclerosis variant,0.002880663,0.498421847,0,3.71E-05
aspirin induced asthma,0.002880663,0.498421847,0,3.71E-05
methemoglobinemia,0.002880663,0.498421847,0,3.71E-05
intussusception,0.002880663,0.498421847,0,3.71E-05
Hypomaturation amelogenesis imperfecta,0.002880663,0.498421847,0,3.71E-05
Turcot syndrome with polyposis,0.002880245,0.498421847,0,3.71E-05
renal pelvis neoplasm,0.002867976,0.498490255,0,3.37E-05
sRAGE measurement,0.002854049,0.498421847,0,3.69E-05
Chylothorax,0.002854049,0.498421847,0,3.69E-05
Fallopian Tube Carcinoma,0.002854049,0.498421847,0,3.69E-05
radiologic finding,0.002854049,0.498421847,0,3.69E-05
lipoprotein-associated phospholipase A(2) measurement,0.002854049,0.498421847,0,3.69E-05
heart amyloid deposition measurement,0.002854049,0.498421847,0,3.69E-05
hemolysis,0.002854049,0.498421847,0,3.69E-05
polycythemia,0.002854049,0.498421847,0,3.69E-05
glycerophospholipid measurement,0.002854049,0.498421847,0,3.69E-05
synophrys measurement,0.002854049,0.498421847,0,3.69E-05
Mumps virus infectious disease,0.002854049,0.498421847,0,3.69E-05
vascular dementia,0.002854049,0.498421847,0,3.69E-05
Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,0.002854049,0.498421847,0,3.69E-05
a disintegrin and metalloproteinase with thrombospondin motifs 13,0.002854049,0.498421847,0,3.69E-05
vasomotor rhinitis,0.002854049,0.498421847,0,3.69E-05
Endometrial Undifferentiated Carcinoma,0.002854049,0.498421847,0,3.69E-05
antiphospholipid antibody measurement,0.002854049,0.498421847,0,3.69E-05
ADAMTS13 activity measurement,0.002854049,0.498421847,0,3.69E-05
HMG CoA reductase inhibitor use measurement,0.002854049,0.498421847,0,3.69E-05
intercellular adhesion molecule 5 measurement,0.002854049,0.498421847,0,3.69E-05
Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,0.002854049,0.498421847,0,3.69E-05
atypical ductal hyperplasia,0.002854049,0.498421847,0,3.69E-05
Lewy body dementia measurement,0.002854049,0.498421847,0,3.69E-05
Prolactin-Producing Pituitary Gland Adenoma,0.002854049,0.498421847,0,3.69E-05
congenital left-sided heart lesions,0.002854049,0.498421847,0,3.69E-05
"malignant hyperthermia, susceptibility to, 1",0.002854049,0.498421847,0,3.69E-05
gastric tubular adenocarcinoma,0.002854049,0.498421847,0,3.69E-05
interleukin 1 Receptor accessory protein measurement,0.002854049,0.498421847,0,3.69E-05
atrial heart septal defect,0.002854049,0.498421847,0,3.69E-05
histoplasmosis,0.002854049,0.498421847,0,3.69E-05
complement factor H-related protein 5 measurement,0.002854049,0.498421847,0,3.69E-05
tachypnea,0.002854049,0.498421847,0,3.69E-05
coagulation factor V measurement,0.002854049,0.498421847,0,3.69E-05
Central Nervous System Lymphoma,0.002854049,0.498421847,0,3.69E-05
anogenital venereal wart,0.002854049,0.498421847,0,3.69E-05
response to irinotecan,0.002854049,0.498421847,0,3.69E-05
monoclonal B-cell lymphocytosis,0.002854049,0.498421847,0,3.69E-05
photosensitivity disease,0.002854049,0.498421847,0,3.69E-05
cryptococcal meningitis,0.002854049,0.498421847,0,3.69E-05
optic nerve glioblastoma,0.002854049,0.498421847,0,3.69E-05
respiratory depression,0.002854049,0.498421847,0,3.69E-05
female reproductive endometrioid cancer,0.002854049,0.498421847,0,3.69E-05
"inflammatory bowel disease, immunodeficiency, and encephalopathy",0.002854049,0.498421847,0,3.69E-05
"Acinar Prostate Adenocarcinoma, Foamy Gland Variant",0.002854049,0.498421847,0,3.69E-05
congenital disorder of glycosylation type II,0.002854049,0.498421847,0,3.69E-05
Ovarian Leydig Cell Tumor,0.002854049,0.498421847,0,3.69E-05
fulminant type 1 diabetes,0.002854049,0.498421847,0,3.69E-05
HIV-associated neurocognitive disorder,0.002854049,0.498421847,0,3.69E-05
hepcidin:ferritin ratio,0.002854049,0.498421847,0,3.69E-05
cycloplegia,0.002854049,0.498421847,0,3.69E-05
Chlamydia trachomatis infectious disease,0.002854049,0.498421847,0,3.69E-05
proto-oncogene tyrosine-protein kinase receptor Ret measurement,0.002854049,0.498421847,0,3.69E-05
Arteritis,0.002854049,0.498421847,0,3.69E-05
alpha-linolenic acid measurement,0.002854049,0.498421847,0,3.69E-05
Enterovirus infectious disease,0.002854049,0.498421847,0,3.69E-05
Basaloid Carcinoma,0.002854049,0.498421847,0,3.69E-05
Appendix Neuroendocrine Tumor G1,0.002854049,0.498421847,0,3.69E-05
response to thiopurine,0.002854049,0.498421847,0,3.69E-05
BMI-adjusted waist circumference,0.002854049,0.498421847,0,3.69E-05
Spirochaetales Infections,0.002854049,0.498421847,0,3.69E-05
syphilis,0.002854049,0.498421847,0,3.69E-05
Columnar Cell Hyperplasia of the Breast,0.002854049,0.498421847,0,3.69E-05
hemopexin measurement,0.002854049,0.498421847,0,3.69E-05
stag1-related disorder,0.002854049,0.498421847,0,3.69E-05
FEV change measurement,0.002854049,0.498421847,0,3.69E-05
lysozyme C measurement,0.002854049,0.498421847,0,3.69E-05
bone giant cell tumor,0.002854049,0.498421847,0,3.69E-05
alpha globulin measurement,0.002854049,0.498421847,0,3.69E-05
phosphatidylcholine ether measurement,0.002854049,0.498421847,0,3.69E-05
LDL cholesterol change measurement,0.002854049,0.498421847,0,3.69E-05
lobar intracerebral hemorrhage,0.002854049,0.498421847,0,3.69E-05
tropical spastic paraparesis,0.002854049,0.498421847,0,3.69E-05
white matter integrity,0.002854049,0.498421847,0,3.69E-05
leptospirosis,0.002854049,0.498421847,0,3.69E-05
croup,0.002854049,0.498421847,0,3.69E-05
IgG isotype profile measurement,0.002854049,0.498421847,0,3.69E-05
Status Asthmaticus,0.002854049,0.498421847,0,3.69E-05
retinopathy of prematurity,0.002854049,0.498421847,0,3.69E-05
Adenoid Cystic Breast Carcinoma,0.002854049,0.498421847,0,3.69E-05
Enoplea infectious disease,0.002854049,0.498421847,0,3.69E-05
ventricular rate measurement,0.002854049,0.498421847,0,3.69E-05
ventilator-associated pneumonia,0.002854049,0.498421847,0,3.69E-05
nevus count,0.002854049,0.498421847,0,3.69E-05
Penile Carcinoma,0.002854049,0.498421847,0,3.69E-05
sphingomyelin measurement,0.002854049,0.498421847,0,3.69E-05
Chronic Neutrophilic Leukemia,0.002854049,0.498421847,0,3.69E-05
arachidonic acid measurement,0.002854049,0.498421847,0,3.69E-05
susceptibility to childhood ear infection measurement,0.002854049,0.498421847,0,3.69E-05
Bladder Small Cell Neuroendocrine Carcinoma,0.002854049,0.498421847,0,3.69E-05
Benign Conjunctival Neoplasm,0.002854049,0.498421847,0,3.69E-05
orchitis,0.00264429,0.498490255,0,2.79E-05
Brachydactyly type C,0.002594948,0.498421847,0,3.54E-05
skin infection,0.002525397,0.498490255,0,2.86E-05
anti-neutrophil antibody associated vasculitis,0.002511263,0.498421847,0,3.50E-05
glucose tolerance test,0.002511263,0.498421847,0,3.50E-05
deep vein thrombosis,0.002511263,0.498421847,0,3.50E-05
acute megakaryoblastic leukaemia,0.002511263,0.498421847,0,3.50E-05
serum hepcidin measurement,0.002511263,0.498421847,0,3.50E-05
ovarian reserve,0.002511263,0.498421847,0,3.50E-05
portal hypertension,0.002511263,0.498421847,0,3.50E-05
total iron binding capacity,0.002511263,0.498421847,0,3.50E-05
hyperthyroxinemia,0.002511263,0.498421847,0,3.50E-05
beta-amyloid 1-42 measurement,0.002511263,0.498421847,0,3.50E-05
leukopenia,0.002511263,0.498421847,0,3.50E-05
vitamin B measurement,0.002511263,0.498421847,0,3.50E-05
urinary albumin to creatinine ratio,0.002511263,0.498421847,0,3.50E-05
fasting blood insulin measurement,0.002511263,0.498421847,0,3.50E-05
collecting duct carcinoma,0.002511263,0.498421847,0,3.50E-05
pouchitis,0.002511263,0.498421847,0,3.50E-05
fasting blood glucose measurement,0.002511263,0.498421847,0,3.50E-05
alopecia areata,0.002511263,0.498421847,0,3.50E-05
energy intake,0.002511263,0.498421847,0,3.50E-05
erectile dysfunction,0.002511263,0.498421847,0,3.50E-05
suicidal ideation,0.002511263,0.498421847,0,3.50E-05
refractory anemia with excess blasts,0.002511263,0.498421847,0,3.50E-05
ferritin measurement,0.002511263,0.498421847,0,3.50E-05
CC16 measurement,0.002511263,0.498421847,0,3.50E-05
essential thrombocythemia,0.002511263,0.498421847,0,3.50E-05
symptomatic heart failure,0.002511263,0.498421847,0,3.50E-05
acatalasia,0.002511263,0.498421847,0,3.50E-05
beta-2 microglobulin measurement,0.002511263,0.498421847,0,3.50E-05
advanced heart failure,0.002511263,0.498421847,0,3.50E-05
appendiceal neoplasm,0.002511263,0.498421847,0,3.50E-05
large cell lung carcinoma,0.002511263,0.498421847,0,3.50E-05
internal carotid artery stenosis,0.002511263,0.498421847,0,3.50E-05
endocarditis,0.002511263,0.498421847,0,3.50E-05
thoracic aortic aneurysm,0.002511263,0.498421847,0,3.50E-05
parotid neoplasm,0.002511263,0.498421847,0,3.50E-05
antiphospholipid syndrome,0.002511263,0.498421847,0,3.50E-05
magnesium measurement,0.002511263,0.498421847,0,3.50E-05
coronary artery calcification,0.002511263,0.498421847,0,3.50E-05
spinal cord neoplasm,0.002511263,0.498421847,0,3.50E-05
clostridium difficile infection,0.002443906,0.498490255,0,3.13E-05
low affinity immunoglobulin gamma Fc region receptor II-a/b measurement,0.002347171,0.498421847,0,3.40E-05
cingulate cortex measurement,0.002347171,0.498421847,0,3.40E-05
Mycoplasma pneumoniae pneumonia,0.002347171,0.498421847,0,3.40E-05
Myasthenia gravis,0.002347171,0.498421847,0,3.40E-05
Pulmonary arterial hypertension associated with congenital heart disease,0.002347171,0.498421847,0,3.40E-05
NAD-dependent protein deacetylase sirtuin-2 measurement,0.002347171,0.498421847,0,3.40E-05
choroidal melanoma,0.002347171,0.498421847,0,3.40E-05
adult-onset Still's disease,0.002347171,0.498421847,0,3.40E-05
susceptibility to cold sores measurement,0.002347171,0.498421847,0,3.40E-05
susceptibility to infectious disease measurement,0.002347171,0.498421847,0,3.40E-05
Flavivirus Infections,0.002347171,0.498421847,0,3.40E-05
mannose-binding protein C measurement,0.002347171,0.498421847,0,3.40E-05
Granulocytic Sarcoma,0.002347171,0.498421847,0,3.40E-05
Gastrointestinal Hamartoma,0.002347171,0.498421847,0,3.40E-05
serum lipase activity measurement,0.002347171,0.498421847,0,3.40E-05
"leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate",0.002347171,0.498421847,0,3.40E-05
Disseminated Peritoneal Leiomyomatosis,0.002347171,0.498421847,0,3.40E-05
amenorrhea,0.002347171,0.498421847,0,3.40E-05
asthenia,0.002347171,0.498421847,0,3.40E-05
cerebral small vessel disease,0.002347171,0.498421847,0,3.40E-05
plasma plasminogen measurement,0.002347171,0.498421847,0,3.40E-05
Esophagitis,0.002347171,0.498421847,0,3.40E-05
Picornaviridae infectious disease,0.002347171,0.498421847,0,3.40E-05
Chordoid Meningioma,0.002347171,0.498421847,0,3.40E-05
MHC class I polypeptide-related sequence B measurement,0.002347171,0.498421847,0,3.40E-05
Congenital bile acid synthesis defect,0.002347171,0.498421847,0,3.40E-05
Plasmodium vivax malaria,0.002347171,0.498421847,0,3.40E-05
aneurysm,0.002347171,0.498421847,0,3.40E-05
dumping syndrome,0.002347171,0.498421847,0,3.40E-05
Mixed Lobular and Ductal Breast Carcinoma,0.002347171,0.498421847,0,3.40E-05
radiation-induced disorder,0.002347171,0.498421847,0,3.40E-05
perceived unattractiveness to mosquitos measurement,0.002347171,0.498421847,0,3.40E-05
intermediate density lipoprotein measurement,0.002347171,0.498421847,0,3.40E-05
hypersensitivity vasculitis,0.002347171,0.498421847,0,3.40E-05
leukoplakia of tongue,0.002347171,0.498421847,0,3.40E-05
"global developmental delay, progressive ataxia, and elevated glutamine",0.002347171,0.498421847,0,3.40E-05
Lung Lymphangioleiomyomatosis,0.002347171,0.498421847,0,3.40E-05
viral conjunctivitis,0.002347171,0.498421847,0,3.40E-05
Endolymphatic Sac Tumor,0.002347171,0.498421847,0,3.40E-05
choroid plexus cancer,0.002347171,0.498421847,0,3.40E-05
asphyxia,0.002347171,0.498421847,0,3.40E-05
Non-immune hydrops fetalis,0.002347171,0.498421847,0,3.40E-05
bullous pemphigoid,0.002347171,0.498421847,0,3.40E-05
Ovarian Small Cell Carcinoma,0.002347171,0.498421847,0,3.40E-05
parental longevity,0.002347171,0.498421847,0,3.40E-05
Lung Sarcomatoid Carcinoma,0.002347171,0.498421847,0,3.40E-05
Conjunctival Squamous Cell Carcinoma,0.002347171,0.498421847,0,3.40E-05
Heterotaxia,0.002347171,0.498421847,0,3.40E-05
chronic rhinosinusitis,0.002347171,0.498421847,0,3.40E-05
mesenchymal chondrosarcoma,0.002347171,0.498421847,0,3.40E-05
Zinc deficiency,0.002347171,0.498421847,0,3.40E-05
Ovarian Dysgerminoma,0.002347171,0.498421847,0,3.40E-05
central nervous system tuberculosis,0.002347171,0.498421847,0,3.40E-05
age at first birth measurement,0.002347171,0.498421847,0,3.40E-05
neurofibrillary tangles measurement,0.002347171,0.498421847,0,3.40E-05
meibomian cyst,0.002347171,0.498421847,0,3.40E-05
urinary metabolite measurement,0.002347171,0.498421847,0,3.40E-05
gestational serum measurement,0.002347171,0.498421847,0,3.40E-05
Atypical Meningioma,0.002347171,0.498421847,0,3.40E-05
longitudinal alcohol consumption measurement,0.002347171,0.498421847,0,3.40E-05
orthostatic intolerance,0.002347171,0.498421847,0,3.40E-05
shortness of breath,0.002347171,0.498421847,0,3.40E-05
Osteochondrosis,0.002347171,0.498421847,0,3.40E-05
interleukin 18 receptor 1 measurement,0.002347171,0.498421847,0,3.40E-05
dysmenorrheic pain measurement,0.002347171,0.498421847,0,3.40E-05
Malignant Ovarian Mixed Epithelial Tumor,0.002347171,0.498421847,0,3.40E-05
"charcot-marie-tooth disease, axonal, type 2t",0.002347171,0.498421847,0,3.40E-05
Gastric Diffuse Large B-Cell Lymphoma,0.002347171,0.498421847,0,3.40E-05
optic cup area measurement,0.002347171,0.498421847,0,3.40E-05
pathological complete response,0.002347171,0.498421847,0,3.40E-05
granuloma,0.002347171,0.498421847,0,3.40E-05
Endometrial Cyst,0.002347171,0.498421847,0,3.40E-05
Splenic Marginal Zone Lymphoma,0.002347171,0.498421847,0,3.40E-05
otosclerosis,0.002337598,0.498490255,0,3.11E-05
brain ischemia,0.002326471,0.498490255,0,2.38E-05
neurodevelopmental disorder with involuntary movements,0.002277374,0.498421847,0,3.36E-05
intestinal lymphangiectasia (disease),0.002277374,0.498421847,0,3.36E-05
Behr syndrome,0.002277374,0.498421847,0,3.36E-05
beta-thalassemia HBB/LCRB,0.002277374,0.498421847,0,3.36E-05
genetic cardiac malformation,0.002277374,0.498421847,0,3.36E-05
Distal hereditary motor neuropathy type 7,0.002277374,0.498421847,0,3.36E-05
chronic non-suppurative otitis media,0.002277374,0.498421847,0,3.36E-05
tubulovillous adenoma,0.002277374,0.498421847,0,3.36E-05
Pyogenic bacterial infections due to MyD88 deficiency,0.002277374,0.498421847,0,3.36E-05
grade III glioma,0.002277374,0.498421847,0,3.36E-05
intellectual developmental disorder with cardiac arrhythmia,0.002277374,0.498421847,0,3.36E-05
Charcot-Marie-Tooth disease type 1C,0.002277374,0.498421847,0,3.36E-05
acroosteolysis,0.002277374,0.498421847,0,3.36E-05
meningioma (disease),0.002277374,0.498421847,0,3.36E-05
familial acne inversa,0.002277374,0.498421847,0,3.36E-05
malignant germ cell tumor of ovary,0.002277374,0.498421847,0,3.36E-05
primary lymphedema with associated anomalies,0.002277374,0.498421847,0,3.36E-05
COL4A1 or COL4A2-related cerebral small vessel disease,0.002277374,0.498421847,0,3.36E-05
Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria,0.002277374,0.498421847,0,3.36E-05
primary peritoneal tumor,0.002277374,0.498421847,0,3.36E-05
night blindness,0.002277374,0.498421847,0,3.36E-05
Waldeyer's ring cancer,0.002277374,0.498421847,0,3.36E-05
Autosomal recessive spastic paraplegia type 26,0.002277374,0.498421847,0,3.36E-05
oligodendroglial tumor,0.002277374,0.498421847,0,3.36E-05
Juvenile absence epilepsy,0.002277374,0.498421847,0,3.36E-05
Distal hereditary motor neuropathy type 5,0.002277374,0.498421847,0,3.36E-05
rare non-malformative gynecologic or obstetric disease,0.002277374,0.498421847,0,3.36E-05
Immunodeficiency with factor H anomaly,0.002277374,0.498421847,0,3.36E-05
Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism,0.002277374,0.498421847,0,3.36E-05
rare hemorrhagic disorder due to a qualitative platelet defect,0.002277374,0.498421847,0,3.36E-05
Autosomal dominant spastic paraplegia type 3,0.002277374,0.498421847,0,3.36E-05
Bathing suit ichthyosis,0.002277374,0.498421847,0,3.36E-05
Hypocalcemia,0.002277374,0.498421847,0,3.36E-05
Ataxia - tapetoretinal degeneration,0.002277374,0.498421847,0,3.36E-05
Lethal acantholytic epidermolysis bullosa,0.002277374,0.498421847,0,3.36E-05
Watson syndrome,0.002277374,0.498421847,0,3.36E-05
syndromic uterovaginal malformation,0.002277374,0.498421847,0,3.36E-05
Achondroplasia,0.002277374,0.498421847,0,3.36E-05
Hereditary hyperferritinemia with congenital cataracts,0.002277374,0.498421847,0,3.36E-05
"dyskeratosis congenita, X-linked",0.002277374,0.498421847,0,3.36E-05
erythroid neoplasm,0.002277374,0.498421847,0,3.36E-05
Autosomal dominant macrothrombocytopenia,0.002277374,0.498421847,0,3.36E-05
leukoplakia,0.002277374,0.498421847,0,3.36E-05
Ichthyosis - intellectual disability - dwarfism - renal impairment,0.002277374,0.498421847,0,3.36E-05
Baller-Gerold syndrome,0.002277374,0.498421847,0,3.36E-05
Cohen-Gibson syndrome,0.002277374,0.498421847,0,3.36E-05
peripheral osteosarcoma,0.002277374,0.498421847,0,3.36E-05
papillary cystadenoma,0.002277374,0.498421847,0,3.36E-05
complement factor H deficiency,0.002277374,0.498421847,0,3.36E-05
benign neoplasm of cornea,0.002277374,0.498421847,0,3.36E-05
Brachydactyly type B2,0.002277374,0.498421847,0,3.36E-05
Abnormal hemoglobin,0.002277374,0.498421847,0,3.36E-05
Leigh disease,0.002277374,0.498421847,0,3.36E-05
Brachyolmia,0.002277374,0.498421847,0,3.36E-05
X-linked cerebral adrenoleukodystrophy,0.002277374,0.498421847,0,3.36E-05
Renal-genital-middle ear anomalies,0.002277374,0.498421847,0,3.36E-05
renal adenoma,0.002277374,0.498421847,0,3.36E-05
CODAS syndrome,0.002277374,0.498421847,0,3.36E-05
borderline epithelial tumor of ovary,0.002277374,0.498421847,0,3.36E-05
maxillary sinus carcinoma,0.002277374,0.498421847,0,3.36E-05
Alopecia - epilepsy - pyorrhea - intellectual disability,0.002277374,0.498421847,0,3.36E-05
Charcot-Marie-Tooth disease type 2H,0.002277374,0.498421847,0,3.36E-05
telangiectasis,0.002277374,0.498421847,0,3.36E-05
Autosomal recessive distal myopathy,0.002277374,0.498421847,0,3.36E-05
malignant tumor of adrenal cortex,0.002277374,0.498421847,0,3.36E-05
acquired pituitary hormone deficiency,0.002277374,0.498421847,0,3.36E-05
Muscle filaminopathy,0.002277374,0.498421847,0,3.36E-05
gastrointestinal polyp,0.002277374,0.498421847,0,3.36E-05
Histiocytoid cardiomyopathy,0.002277374,0.498421847,0,3.36E-05
pituitary adenocarcinoma (disease),0.002277374,0.498421847,0,3.36E-05
laryngeal disease,0.00219618,0.498490255,0,3.13E-05
Angelman syndrome,0.002135068,0.498421847,0,3.28E-05
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,0.002134949,0.498421847,0,3.28E-05
Proteasome disability syndrome,0.002134949,0.498421847,0,3.28E-05
Hypophosphatemic rickets,0.002134949,0.498421847,0,3.28E-05
Parietal foramina,0.002134949,0.498421847,0,3.28E-05
Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,0.002134949,0.498421847,0,3.28E-05
Nanophthalmia,0.002134949,0.498421847,0,3.28E-05
Recurrent infections-myelofibrosis-nephromegaly syndrome,0.002134949,0.498421847,0,3.28E-05
Disease with punctate palmoplantar keratoderma as a major feature,0.002134949,0.498421847,0,3.28E-05
Low phospholipid associated cholelithiasis,0.002134949,0.498421847,0,3.28E-05
Rothmund-Thomson syndrome,0.002134949,0.498421847,0,3.28E-05
Neurofibromatosis-Noonan syndrome,0.002134949,0.498421847,0,3.28E-05
Central core disease,0.002134949,0.498421847,0,3.28E-05
Alpha-B crystallin-related late-onset distal myopathy,0.002134949,0.498421847,0,3.28E-05
"Lissencephaly syndrome, Norman-Roberts type",0.002134949,0.498421847,0,3.28E-05
Skin fragility-woolly hair-palmoplantar keratoderma syndrome,0.002134949,0.498421847,0,3.28E-05
Familial encephalopathy with neuroserpin inclusion bodies,0.002134949,0.498421847,0,3.28E-05
"46,XX disorder of gonadal development",0.002134949,0.498421847,0,3.28E-05
Muenke syndrome,0.002134949,0.498421847,0,3.28E-05
Goldmann-Favre syndrome,0.002134949,0.498421847,0,3.28E-05
Glucocorticoid resistance,0.002134949,0.498421847,0,3.28E-05
Glycogen storage disease due to glycogen debranching enzyme deficiency,0.002134949,0.498421847,0,3.28E-05
Acrodermatitis enteropathica,0.002134949,0.498421847,0,3.28E-05
Isolated brachycephaly,0.002134949,0.498421847,0,3.28E-05
Charcot-Marie-Tooth disease type 4B3,0.002134949,0.498421847,0,3.28E-05
Hemochromatosis type 2,0.002134949,0.498421847,0,3.28E-05
Classical progressive supranuclear palsy,0.002134949,0.498421847,0,3.28E-05
Autosomal recessive limb-girdle muscular dystrophy type 2T,0.002134949,0.498421847,0,3.28E-05
Familial vesicoureteral reflux,0.002134949,0.498421847,0,3.28E-05
Rubinstein-Taybi syndrome due to CREBBP mutations,0.002134949,0.498421847,0,3.28E-05
Hypotonia-cerebral atrophy-hyperglycinemia syndrome,0.002134949,0.498421847,0,3.28E-05
Isolated follicle stimulating hormone deficiency,0.002134949,0.498421847,0,3.28E-05
Neural tube closure defect,0.002134949,0.498421847,0,3.28E-05
Fatal familial insomnia,0.002134949,0.498421847,0,3.28E-05
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,0.002134949,0.498421847,0,3.28E-05
Familial progressive cardiac conduction defect,0.002134949,0.498421847,0,3.28E-05
Tibial aplasia - ectrodactyly,0.002134949,0.498421847,0,3.28E-05
Ulnar/fibula ray defect - brachydactyly,0.002134949,0.498421847,0,3.28E-05
